,Unnamed: 0,Unnamed: 1,0–19,20–64,65 and over,Male,Female,Swiss,Foreigner,Single,Married,Widowed,Divorced,Unmarried,In a registered partnership,Partnership dissolved,Urban core,Area influenced,Area beyond
0,,,,,,,,,,,,,,,,,area,by urban cores,urban core
1,,,,,,,,,,,,,,,,,,,influence
2,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
4,Total,8484130.0,1700494.0,5233271.0,1550365.0,4206434.0,4277696.0,6357738.0,2126392.0,3755372.0,3592368.0,406117.0,711025.0,588.0,16435.0,2001.0,5339043,1852223,1292864
5,,,,,,,,,,,,,,,,,,,
6,Lake Geneva region,1629841.0,346875.0,1005903.0,277063.0,798780.0,831061.0,1086874.0,542967.0,747544.0,661155.0,73063.0,143847.0,163.0,3558.0,458.0,1129428,344955,155458
7,Vaud,793129.0,174446.0,488905.0,129778.0,389504.0,403625.0,527117.0,266012.0,368315.0,319792.0,34382.0,68554.0,57.0,1786.0,216.0,491022,219482,82625
8,Valais,341463.0,67825.0,207639.0,65999.0,169162.0,172301.0,263082.0,78381.0,145510.0,149095.0,18326.0,28051.0,35.0,378.0,52.0,187341,81289,72833
9,Geneva,495249.0,104604.0,309359.0,81286.0,240114.0,255135.0,296675.0,198574.0,233719.0,192268.0,20355.0,47242.0,71.0,1394.0,190.0,451065,44184,0
10,,,,,,,,,,,,,,,,,,,
11,Espace Mittelland,1868886.0,372526.0,1134465.0,361895.0,922655.0,946231.0,1514630.0,354256.0,815367.0,791716.0,97906.0,160544.0,123.0,2792.0,386.0,937087,501043,430756
12,Bern,1031126.0,196464.0,622668.0,211994.0,505911.0,525215.0,864345.0,166781.0,447669.0,437969.0,55951.0,87498.0,57.0,1696.0,258.0,540715,228540,261871
13,Fribourg,315074.0,70790.0,195404.0,48880.0,157874.0,157200.0,244143.0,70931.0,143931.0,132264.0,13480.0,24910.0,30.0,408.0,43.0,103666,132449,78959
14,Solothurn,271432.0,51786.0,167169.0,52477.0,135497.0,135935.0,210812.0,60620.0,113401.0,119540.0,14256.0,23766.0,13.0,398.0,44.0,163697,70005,37730
15,Neuchâtel,177964.0,37939.0,106567.0,33458.0,87093.0,90871.0,132811.0,45153.0,78725.0,71046.0,9692.0,18242.0,14.0,212.0,32.0,103991,56005,17968
16,Jura,73290.0,15547.0,42657.0,15086.0,36280.0,37010.0,62519.0,10771.0,31641.0,30897.0,4527.0,6128.0,9.0,78.0,9.0,25018,14044,34228
17,,,,,,,,,,,,,,,,,,,
18,Northwest Switzerland,1151919.0,224171.0,710358.0,217390.0,571672.0,580247.0,850199.0,301720.0,492796.0,504252.0,56491.0,95794.0,64.0,2261.0,242.0,755406,289244,107269
19,Basel-Stadt,193908.0,33117.0,122052.0,38739.0,93723.0,100185.0,124147.0,69761.0,92283.0,71463.0,10613.0,18774.0,23.0,682.0,66.0,193908,0,0
20,Basel-Landschaft,287023.0,55109.0,169687.0,62227.0,140771.0,146252.0,222343.0,64680.0,115488.0,131317.0,15650.0,23879.0,10.0,624.0,53.0,195457,84629,6937
21,Aargau,670988.0,135945.0,418619.0,116424.0,337178.0,333810.0,503709.0,167279.0,285025.0,301472.0,30228.0,53141.0,31.0,955.0,123.0,366041,204615,100332
22,,,,,,,,,,,,,,,,,,,
23,Zurich,1504346.0,296854.0,952121.0,255371.0,748276.0,756070.0,1102014.0,402332.0,693245.0,613343.0,62962.0,129082.0,90.0,4914.0,655.0,1158518,335631,10197
24,,,,,,,,,,,,,,,,,,,
25,Eastern Switzerland,1169358.0,233468.0,717934.0,217956.0,586426.0,582932.0,902131.0,267227.0,499101.0,515657.0,58030.0,94989.0,54.0,1374.0,125.0,634402,200187,334769
26,Glarus,40349.0,7761.0,24631.0,7957.0,20423.0,19926.0,30636.0,9713.0,16800.0,17940.0,2318.0,3243.0,2.0,40.0,6.0,30768,0,9581
27,Schaffhausen,81351.0,15302.0,48973.0,17076.0,40251.0,41100.0,60185.0,21166.0,33340.0,36151.0,4598.0,7111.0,2.0,138.0,11.0,46786,26260,8305
28,Appenzell A. Rh.,55178.0,11150.0,33438.0,10590.0,27879.0,27299.0,46181.0,8997.0,23452.0,24134.0,2844.0,4661.0,2.0,78.0,7.0,15780,26482,12916
29,Appenzell I. Rh.,16105.0,3479.0,9613.0,3013.0,8290.0,7815.0,14271.0,1834.0,7319.0,7029.0,855.0,887.0,1.0,10.0,3.0,0,0,16105
30,St. Gallen,504686.0,104151.0,309810.0,90725.0,252710.0,251976.0,383755.0,120931.0,218391.0,220999.0,24270.0,40353.0,25.0,583.0,46.0,349971,66182,88533
31,Graubünden,197888.0,35900.0,120638.0,41350.0,99050.0,98838.0,160985.0,36903.0,83843.0,87490.0,10729.0,15615.0,12.0,177.0,17.0,64286,24278,109324
32,Thurgau,273801.0,55725.0,170831.0,47245.0,137823.0,135978.0,206118.0,67683.0,115956.0,121914.0,12416.0,23119.0,10.0,348.0,35.0,126811,56985,90005
33,,,,,,,,,,,,,,,,,,,
34,Central Switzerland,806071.0,161831.0,502449.0,141791.0,406120.0,399951.0,646768.0,159303.0,359219.0,352375.0,36269.0,56920.0,53.0,1128.0,92.0,472338,105163,228570
35,Lucerne,406506.0,82868.0,252896.0,70742.0,202534.0,203972.0,331512.0,74994.0,185365.0,174163.0,18682.0,27623.0,23.0,591.0,51.0,213163,45846,147497
36,Uri,36299.0,7359.0,21656.0,7284.0,18522.0,17777.0,31928.0,4371.0,15541.0,16869.0,1991.0,1855.0,7.0,31.0,5.0,22323,9795,4181
37,Schwyz,157301.0,30745.0,99111.0,27445.0,80618.0,76683.0,124130.0,33171.0,68164.0,69693.0,6999.0,12216.0,5.0,207.0,14.0,95518,33446,28337
38,Obwalden,37575.0,7622.0,23079.0,6874.0,19030.0,18545.0,32056.0,5519.0,16589.0,16719.0,1770.0,2462.0,1.0,33.0,1.0,10236,0,27339
39,Nidwalden,42969.0,7868.0,26620.0,8481.0,22006.0,20963.0,36712.0,6257.0,18592.0,19055.0,1979.0,3293.0,4.0,41.0,3.0,16038,5715,21216
40,Zug,125421.0,25369.0,79087.0,20965.0,63410.0,62011.0,90430.0,34991.0,54968.0,55876.0,4848.0,9471.0,13.0,225.0,18.0,115060,10361,0
